ProductURL,Cat
http://www.boots.com/en/Yogi-Floral-Hair-Wand-Straightener-Kit-with-Storage-Bag-and-Gift-Box_1234829/,"Professional Haircare"
http://www.boots.com/en/Yogi-Heat-Protection-Glove-For-Hair-Styling_1234819/,"Professional Haircare"
http://www.boots.com/en/Yogi-Hair-Styling-Wand-Black-and-White-Zebra_1234815/,"Professional Haircare"
http://www.boots.com/en/Yogi-Purple-Zebra-Hair-Wand-Straightener-Styling-Kit-with-Storage-Bag-Gift-Box_1234825/,"Professional Haircare"
http://www.boots.com/en/Yogi-Hair-Straightener-Floral_1234817/,"Professional Haircare"
http://www.boots.com/en/Yogi-Iron-Wand-Holder_1234831/,"Professional Haircare"
http://www.boots.com/en/Yogi-Hair-Styling-Wand-Purple_1234809/,"Professional Haircare"
http://www.boots.com/en/Yogi-Hair-Styling-Wand-Purple-Zebra_1234823/,"Professional Haircare"
http://www.boots.com/en/Yogi-Pink-Zebra-Hair-Wand-Straightener-Styling-Kit-with-Storage-Bag-Gift-Box_1234827/,"Professional Haircare"
http://www.boots.com/en/Yogi-Heat-Protection-Pouch-Mat_1234821/,"Professional Haircare"
http://www.boots.com/en/Yogi-Hair-Styling-Wand-Black_1234811/,"Professional Haircare"
http://www.boots.com/en/Yogi-Hair-Styling-Wand-Pink_1234803/,"Professional Haircare"
http://www.boots.com/en/White-Hot-Lifeshine-Oil-50ml_1349219/,"Professional Haircare"
http://www.boots.com/en/White-Hot-Intense-Lustre-Mask-100ml_1349217/,"Professional Haircare"
http://www.boots.com/en/White-Hot-Shooshing-Creme-50ml_1349215/,"Professional Haircare"
http://www.boots.com/en/White-Hot-Luminous-Conditioner-200ml_1349213/,"Professional Haircare"
http://www.boots.com/en/White-Hot-Glorious-Shampoo-200ml_1349211/,"Professional Haircare"
http://www.boots.com/en/White-Hot-Brilliant-Shampoo-200ml_1349209/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Cleanse-Shampoo-for-Fine-Hair-250ml_1234283/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Glamour-Spritz-and-Shine-Liquid-Mousse-222ml_1234319/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Cleanse-Shampoo-for-Damaged-Hair-250ml_1234287/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Cleanse-Shampoo-for-Brunette-Hair-250ml_1234291/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Prep-Smoothing-Detangler-150ml_1234337/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Prep-Curl-Defining-Hair-Oil-150ml_1261710/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Casual-Sea-Salt-Texturising-Spray-200ml_1234339/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Classic-Shine-Gloss-Serum-10ml_1234351/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Prep-Leave-In-Conditioner-100ml_1234309/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Cleanse-Shampoo-for-Advanced-Detox-250ml_1234281/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Radiating-Tropical-Elixir-50ml_1450915/,"Professional Haircare"
http://www.boots.com/en/Toni-Guy-Nourish-Deep-Conditioning-Mask-for-Blonde-Hair-200ml_1234305/,"Professional Haircare"
http://www.boots.com/en/Wahl-Baldfader-Afro-Hair-Clipper_1104406/,"Professional Haircare"
http://www.boots.com/en/Wahl-Stubble-Trimmer_1234465/,"Professional Haircare"
http://www.boots.com/en/Wahl-Vogue-Professional-Clipper-with-Personal-Trimmer_923635/,"Professional Haircare"
http://www.boots.com/en/Wahl-Performer-Hair-Trimmer_923641/,"Professional Haircare"
http://www.boots.com/en/Wahl-Lithium-Ion-Deluxe-Grooming-Station-As-Seen-On-TV_923643/,"Professional Haircare"
http://www.boots.com/en/Wahl-Clip-and-Rinse-Rechargeable-Hair-Clipper-with-Personal-Trimmer_923637/,"Professional Haircare"
http://www.boots.com/en/Wahl-Groomsman-Pro-3-in-1-Trimmer_1037035/,"Professional Haircare"
http://www.boots.com/en/Wahl-Afro-Straightening-Hair-Comb_923645/,"Professional Haircare"
http://www.boots.com/en/Wahl-Professional-Clip-N-Trim-Hair-Clipper_923639/,"Professional Haircare"
http://www.boots.com/en/Viviscal-Womens-Max-strength-supplements-180s_1322346/,"Hair loss"
http://www.boots.com/en/Viviscal-Volumising-Hair-Fibres-Blonde_1410112/,"Hair loss"
http://www.boots.com/en/Viviscal-Moisturising-conditioner_1322352/,"Hair loss"
http://www.boots.com/en/Viviscal-Gentle-shampoo-200ml_1322350/,"Hair loss"
http://www.boots.com/en/Viviscal-Hair-Thickening-Fibres-Black-Noir_1410118/,"Hair loss"
http://www.boots.com/en/Viviscal-Hair-Thickening-Fibres-Light-Brown_1410108/,"Hair loss"
http://www.boots.com/en/Viviscal-Hair-Thickening-Fibres-Dark-Brown_1410116/,"Hair loss"
http://www.boots.com/en/Viviscal-Hair-Thickening-Fibres-Grey_1410114/,"Hair loss"
http://www.boots.com/en/Viviscal-Mans-supplements-60s-tabs_1322348/,"Hair loss"
http://www.boots.com/en/Viviscal-Womens-Max-strength-supplement-60s_1322344/,"Hair loss"
http://www.boots.com/en/Viviscal-Volumising-Hair-Fibres-Auburn_1410110/,"Hair loss"
http://www.boots.com/en/Molton-Brown-Indian-Cress-Purifying-Conditioner-300ml_1376986/,"Premium Haircare"
http://www.boots.com/en/Vitabiotics-Wellwoman-Tricologic-Woman-60-tablets_981124/,"Hair loss"
http://www.boots.com/en/Molton-Brown-Cloudberry-Nurturing-Conditioner-300ml_1376988/,"Premium Haircare"
http://www.boots.com/en/Molton-Brown-Indian-Cress-Purifying-Shampoo-300ml_1376982/,"Premium Haircare"
http://www.boots.com/en/Molton-Brown-Cloudberry-Nurturing-Shampoo-300ml_1376984/,"Premium Haircare"
http://www.boots.com/en/Molton-Brown-Mer-Rouge-Deep-Conditioning-Mask-200ml_1376996/,"Premium Haircare"
http://www.boots.com/en/Wellwoman-Tricologic-30-tablets_1253667/,"Hair loss"
http://www.boots.com/en/Wellman-Tricologic-60-Tablets_42092/,"Hair loss"
http://www.boots.com/en/Wellman-Tricologic-30-tablets_1253665/,"Hair loss"
http://www.boots.com/en/Ojon-Rare-Blend-Oil-Total-Hair-Therapy-45ml_1276053/,"Premium Haircare"
http://www.boots.com/en/Ojon-Rare-Blend-Deep-Conditioner-150ml_1330317/,"Premium Haircare"
